Year,Travel status,Week,Reported cases
2010 - 2024,All,01,1217
2010 - 2024,All,02,941
2010 - 2024,All,03,833
2010 - 2024,All,04,752
2010 - 2024,All,05,719
2010 - 2024,All,06,716
2010 - 2024,All,07,581
2010 - 2024,All,08,601
2010 - 2024,All,09,574
2010 - 2024,All,10,521
2010 - 2024,All,11,491
2010 - 2024,All,12,475
2010 - 2024,All,13,447
2010 - 2024,All,14,459
2010 - 2024,All,15,383
2010 - 2024,All,16,391
2010 - 2024,All,17,403
2010 - 2024,All,18,385
2010 - 2024,All,19,442
2010 - 2024,All,20,486
2010 - 2024,All,21,556
2010 - 2024,All,22,697
2010 - 2024,All,23,797
2010 - 2024,All,24,920
2010 - 2024,All,25,1104
2010 - 2024,All,26,1177
2010 - 2024,All,27,1366
2010 - 2024,All,28,1590
2010 - 2024,All,29,1710
2010 - 2024,All,30,1671
2010 - 2024,All,31,1949
2010 - 2024,All,32,1955
2010 - 2024,All,33,2030
2010 - 2024,All,34,1787
2010 - 2024,All,35,1761
2010 - 2024,All,36,1764
2010 - 2024,All,37,1679
2010 - 2024,All,38,1589
2010 - 2024,All,39,1574
2010 - 2024,All,40,1512
2010 - 2024,All,41,1586
2010 - 2024,All,42,1534
2010 - 2024,All,43,1402
2010 - 2024,All,44,1397
2010 - 2024,All,45,1337
2010 - 2024,All,46,1274
2010 - 2024,All,47,1219
2010 - 2024,All,48,1213
2010 - 2024,All,49,1160
2010 - 2024,All,50,972
2010 - 2024,All,51,852
2010 - 2024,All,52,817
2010 - 2024,All,53,46