Year,U.S. military personnel,U.S. civilians,Non-U.S. residents,Status not recorded,Total
1972,454,106,54,0,614
1973,41,103,78,0,222
1974,21,158,144,0,323
1975,17,199,232,0,448
1976,5,178,227,5,415
1977,11,233,237,0,481
1978,31,270,315,0,616
1979,11,229,634,3,877
1980,26,303,"1,534",1,"1,864"
1981,21,273,809,0,"1,103"
1982,8,348,574,0,930
1983,10,325,468,0,803
1984,24,360,632,0,"1,016"
1985,31,446,568,0,"1,045"
1986,35,410,646,0,"1,091"
1987,23,421,488,0,932
1988,33,550,440,0,"1,023"
1989,35,591,476,0,"1,102"
1990,36,558,504,0,"1,098"
1991,22,585,439,0,"1,046"
1992,29,394,481,6,910
1993,278,519,453,25,"1,275"
1994,38,524,370,82,"1,014"
1995,12,599,461,95,"1,167"
1996,32,618,636,106,"1,392"
1997,28,698,592,226,"1,544"
1998,22,636,361,208,"1,227"
1999,55,833,381,271,"1,540"
2000,46,827,354,175,"1,402"
2001,18,891,316,158,"1,383"
2002,33,849,272,183,"1,337"
2003,36,767,306,169,"1,278"
2004,32,775,282,235,"1,324"
2005,36,870,297,325,"1,528"
2006,50,736,217,561,"1,564"
2007,33,701,263,508,"1,505"
2008,19,510,176,593,"1,298"
2009,18,661,201,604,"1,484"
2010,46,"1,085",368,192,"1,691"
2011,91,"1,098",386,350,"1,925"
2012,43,"1,121",328,195,"1,687"
2013,14,"1,136",349,242,"1,741"
2014,31,"1,114",384,196,"1,725"
2015,23,933,368,200,"1,524"
2016,41,"1,216",581,240,"2,078"
2017,26,"1,290",516,329,"2,161"
2018,38,"1,066",375,344,"1,823"
2019,23,"1,388",359,278,"2,048"
2020,14,390,87,111,602
2021,11,"1,044",191,304,"1,550"
2022,17,"1,315",279,388,"1,999"